alias,source,project,id,atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT
ATD-5,,,,HBASE-13871,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/filter/TestFilter.java,15,,,hbase-server/src/test/java/org/apache/hadoop/hbase/filter/TestFilter.java,0,41,0,43,1549,1579,98,98,0,0.026468689477082,0,0.0272324255858138
ATD-5,,,,HBASE-13871,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/NoOpScanPolicyObserver.java,2,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/NoOpScanPolicyObserver.java,2,14,2,15,47,47,4,4,0.0425531914893617,0.297872340425532,0.0425531914893617,0.319148936170213
ATD-5,,,,HBASE-13871,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestCompaction.java,13,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestCompaction.java,1,42,1,33,762,440,101,101,0.00131233595800525,0.0551181102362205,0.00227272727272727,0.075
ATD-5,,,,HBASE-13871,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestHRegion.java,65,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestHRegion.java,1,72,1,95,3590,4807,291,291,0.000278551532033426,0.0200557103064067,0.000208029956313709,0.0197628458498024
ATD-5,,,,HBASE-13871,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestReversibleScanners.java,15,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestReversibleScanners.java,0,34,0,42,567,572,81,81,0,0.0599647266313933,0,0.0734265734265734
ATD-6,issue section,thrift,503,THRIFT-503,"""make check""-enabled C++ tests should be in lib/cpp/test",2a4bfd6d0cdd32c9ade36a5c481b952f522f4fb2,39545,test/Benchmark.cpp,4,351e22b52afcbe9b40e0933f80b06b479dff50f4,40421,test/Benchmark.cpp,0,8,0,9,68,NA,6,6,0,0.117647058823529,NA,NA
ATD-6,,,,THRIFT-503,,,,test/DebugProtoTest.cpp,26,,,test/DebugProtoTest.cpp,0,4,0,4,71,NA,1,1,0,0.0563380281690141,NA,NA
ATD-6,,,,THRIFT-503,,,,test/DenseProtoTest.cpp,4,,,test/DenseProtoTest.cpp,0,11,0,11,286,NA,11,11,0,0.0384615384615385,NA,NA
ATD-6,,,,THRIFT-503,,,,test/JSONProtoTest.cpp,4,,,test/JSONProtoTest.cpp,0,5,0,5,112,NA,1,1,0,0.0446428571428571,NA,NA
ATD-6,,,,THRIFT-503,,,,test/ReflectionTest.cpp,2,,,test/ReflectionTest.cpp,0,4,NA,NA,15,NA,1,NA,0,0.266666666666667,NA,NA
ATD-6,,,,THRIFT-503,,,,test/TMemoryBufferTest.cpp,4,,,test/TMemoryBufferTest.cpp,0,7,0,7,71,NA,7,7,0,0.0985915492957746,NA,NA
ATD-6,,,,THRIFT-503,,,,test/UnitTestMain.cpp,3,,,test/UnitTestMain.cpp,0,1,0,1,2,NA,0,0,0,0.5,NA,NA
ATD-6,,,,THRIFT-503,,,,test/py/RunClientServer.py,4,,,test/py/RunClientServer.py,0,0,0,0,14,33,1,6,0,0,0,0
ATD-7,issue section,thrift,4043,THRIFT-4043|0,thrift perl debian package is placing files in the wrong place,93bbdc8127cb6ebdd34350fbba1b3a0a4e8e4111,42458,debian/control,4,bd257f1b9058c1ea7fc12b0a312fe7fa3de86a7e,42774,debian/control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATD-8,commit messages,jena,2409ee4af9bc15c17e5cf63698fc791262eb9571,2409ee4af9bc15c17e5cf63698fc791262eb9571,"Refactor to make the HttpAction objects and servlets independent of Jetty.
An indirect dependency existed for HttpAction on SPARQLServer.
Refactoring is a step towards JENA-201 (Deliver Fuseki as a WAR file).",e8f43f90453e5251f621c2284f0eea68cd01d0c9,41453,jena-fuseki/src/main/java/org/apache/jena/fuseki/server/SPARQLServer.java,8,2409ee4af9bc15c17e5cf63698fc791262eb9571,41511,jena-fuseki/src/main/java/org/apache/jena/fuseki/server/SPARQLServer.java,5,29,7,28,330,287,53,52,0.0151515151515152,0.0878787878787879,0.024390243902439,0.0975609756097561
ATD-9,commit messages,couchdb,aef58662a13dae7f9c8a6aec99beb32de3dd1f50,aef58662a13dae7f9c8a6aec99beb32de3dd1f50,"Rewrite rebalancing plan generator
This patch splits the functionality of the module out into three
classes or work:
* Fixing zoning and replica level violations
* Contracting a cluster
* Rebalancing shards across a cluster
The implementations of the first two features are pretty similar - find
the shards that need to be moved, then choose an optimal home for each
of them.  By default the contraction code will remove shards from nodes
in the ""decom"" zone, and the rebalancing code will ignore that zone
entirrely. An optimal home is a node that
a) is in the correct zone, and
b) has the fewest # of shards for the DB among nodes in the zone, and
c) has the fewest total # of shards among nodes satisfying a) and b)
The implementation of rebalancing is a bit more complicated.  The
rebalancing algorithm looks roughly like this
For DB in all_dbs:
    Ensure all nodes have at least (N*Q) div length(Nodes) shards
    Ensure no node has more than (N*Q) div length(Nodes) + 1 shards
For node in nodes:
    If node has more than TotalShards div length(Nodes) + 1 shards:
        Donate shard to another node
The net result is that each database is balanced across the cluster and
the cluster as a whole is globally balanced.
The current version of the module prints out shard move and copy
operations in a clou-friendly format via io:format.  It also returns a
list of {Op, #shard{}, node()} tuples representing the operations.
The rebalancer will stop after generating 1000 operations by default.
The limit can be customized by using the 1-arity versions of expand,
contract and fix_zoning, but note that the performance of the rebalancer
degrades as the number of pending operations increases.
BugzID: 23690
BugzID: 20770",d2171e9b4d7cfe78858a6139cdf74d79607fe3e6,41367,src/mem3_rebalance.erl,0,aef58662a13dae7f9c8a6aec99beb32de3dd1f50,41542,src/mem3_rebalance.erl,0,15,0,15,359,359,175,175,0,0.0417827298050139,0,0.0417827298050139
ATD-10,commit messages,camel,164d53833a4c433ee03e8b9fe02bf32bdaeb0629,164d53833a4c433ee03e8b9fe02bf32bdaeb0629,Move BytesSource and StringSource from converter to api as they are used from several places including util which should not know about converters,4fbe87629d1535ca61b36a5c6baf7f853ce254b1,39170,camel-core/src/main/java/org/apache/camel/Converter.java,8,164d53833a4c433ee03e8b9fe02bf32bdaeb0629,40780,camel-core/src/main/java/org/apache/camel/Converter.java,5,0,58,0,9,11,0,0,0.555555555555556,0,5.27272727272727,0
