alias,source,project,id,non_atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreEngine.java,8,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreEngine.java,2,6,13,8,65,57,10,17,0.0307692307692308,0.0923076923076923,0.228070175438596,0.140350877192982,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionPolicy.java,7,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionPolicy.java,7,4,10,4,31,25,2,3,0.225806451612903,0.129032258064516,0.4,0.16,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/Compactor.java,39,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/Compactor.java,5,2,8,23,21,227,2,38,0.238095238095238,0.0952380952380952,0.0352422907488987,0.101321585903084,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/DefaultCompactionPolicy.java,5,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/RatioBasedCompactionPolicy.java,2,9,7,10,255,247,65,66,0.00784313725490196,0.0352941176470588,0.0283400809716599,0.0404858299595142,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/DefaultCompactor.java,23,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/DefaultCompactor.java,1,19,5,11,152,112,27,16,0.00657894736842105,0.125,0.0446428571428571,0.0982142857142857,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestCompaction.java,24,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestCompaction.java,1,30,1,33,453,440,57,54,0.0022075055187638,0.0662251655629139,0.00227272727272727,0.075,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestDefaultCompactSelection.java,14,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestDefaultCompactSelection.java,0,18,0,24,229,230,29,27,0,0.0786026200873363,0,0.104347826086957,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/compactions/PerfTestCompactionPolicies.java,5,,,hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/compactions/PerfTestCompactionPolicies.java,0,9,0,11,167,140,14,14,0,0.0538922155688623,0,0.0785714285714286,
NON-ATD-7,issue section,hadoop,10673,HADOOP-10673,Update rpc metrics when the call throws an exception,55d3dc50d16c,2011-10-28,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/ProtobufRpcEngine.java,27,790ee456439729073d75ccf91e1f63b3d360b1c7,2014-07-16,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/ProtobufRpcEngine.java,0,18,35,24,276,444,40,67,0,0.0652173913043478,0.0788288288288288,0.0540540540540541,
NON-ATD-7,,,,HADOOP-10673,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/RpcServerException.java,2,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/RpcServerException.java,3,1,8,1,10,18,2,4,0.3,0.1,0.444444444444444,0.0555555555555556,
